run	agent	pop	T	skill_pct	collab_pct	residual_pct	skill_list	bestT	gens	run_skill_mean	run_collab_mean	tournament	regime	abundance	predator_pressure	drift_prob	niche_capacity	dominant	n_dominant
habitat-scarce-aws+build	aws_cost	aws-ops	57	0.0	0.2321	0.7679	['cost_ri_advisor']	61	1	0.037	0.136	division	scarce	0.45	0.18	0.2	3.0	[]	0
habitat-scarce-aws+build	ba74e93f	build_system	57	0.0	0.1053	0.8947	['617172b1']	61	1	0.037	0.136	division	scarce	0.45	0.18	0.2	3.0	[]	0
habitat-scarce-aws+build	bad20104	build_system	57	0.0	0.1754	0.8246	['code_implementation', '4c87d92f']	61	1	0.037	0.136	division	scarce	0.45	0.18	0.2	3.0	[]	0
habitat-scarce-aws+build	aws_oper	aws-ops	53	0.0	0.1154	0.8846	['aws_cli_script_authoring']	61	1	0.037	0.136	division	scarce	0.45	0.18	0.2	3.0	[]	0
habitat-harsh-aws+build	build_architect	build_system	60	0.2414	0.0517	0.7069	['architecture_design', 'interface_definition', 'pattern_selection']	60	1	0.048	0.025	division	harsh	0.35	0.22	0.28	2.0	[]	0
habitat-harsh-aws+build	83fd1cf0	build_system	56	0.0	0.0179	0.9821	[]	60	1	0.048	0.025	division	harsh	0.35	0.22	0.28	2.0	[]	0
habitat-harsh-aws+build	aws_oper	aws-ops	53	0.0	0.0189	0.9811	['aws_cli_script_authoring']	60	1	0.048	0.025	division	harsh	0.35	0.22	0.28	2.0	[]	0
habitat-harsh-aws+build	bad20104	build_system	53	0.0	0.0192	0.9808	['web_research']	60	1	0.048	0.025	division	harsh	0.35	0.22	0.28	2.0	[]	0
habitat-harsh-aws+build	aws_arch	aws-ops	52	0.0	0.0192	0.9808	['aws_es_capacity_planning', 'compliance_region_guard']	60	1	0.048	0.025	division	harsh	0.35	0.22	0.28	2.0	[]	0
habitat-abundant-aws+build	aws_lead	aws-ops	86	0.0814	0.0349	0.8837	['aws_es_scaling_orchestration', 'container_management', 'requirements_analysis']	86	2	0.028	0.049	division	abundant	1.4	0.04	0.05	3.0	[]	0
habitat-abundant-aws+build	build_architect	build_system	69	0.0435	0.0	0.9565	['architecture_design', 'interface_definition', 'pattern_selection', 'aws_cli_script_authoring']	86	2	0.028	0.049	division	abundant	1.4	0.04	0.05	3.0	[]	0
habitat-abundant-aws+build	bad20104	build_system	59	0.0169	0.0169	0.9662	['interface_definition']	86	2	0.028	0.049	division	abundant	1.4	0.04	0.05	3.0	[]	0
habitat-abundant-aws+build	aws_region	aws-ops	58	0.0	0.0862	0.9138	['compliance_region_guard']	86	2	0.028	0.049	division	abundant	1.4	0.04	0.05	3.0	[]	0
habitat-abundant-aws+build	83fd1cf0	build_system	56	0.0	0.1071	0.8929	['6ad54b23', 'blocker_resolution', 'aws_cli_script_authoring']	86	2	0.028	0.049	division	abundant	1.4	0.04	0.05	3.0	[]	0
